"","DH_Ogc","DH_DG.1","DH_DG.2","DH_CA1","DH_DG.3","DH_InN","DH_Sub_Ent","DH_Asc","DH_CA2.3","DH_Mgc","DH_Opc","DH_Endo","DH_Peri","DH_SMC","FC_L2.3","FC_Ogc","FC_L4","FC_InN.Vip.Npy","FC_Asc","FC_L5.Deptor","FC_InN.Meis2","FC_L6","FC_Mgc","FC_InN.Six3","FC_InN.Sst.Pvalb","FC_Claustrum","FC_Opc","FC_L5.Parm1","FC_Endo","FC_Peri","FC_L5.Fezf2","FC_InN.Lrrc38.Plcxd3","LM_Skm.Myh4.1","LM_Skm.Myh1","LM_Skm.Myh4.2","LM_FB","LM_Endo","LM_MTJ","LM_Macg","LM_SMC","LM_Fat","LM_B_cell","LM_Kerat","LM_MuSC","LM_NMJ","LM_Skm.Gm5141","LM_Neutrophil","LM_Eryth","HT_CM","HT_FB","HT_Endo","HT_Macg","HT_SMC","HT_Endocardial","HT_B_cell","HT_Fat","HT_T_cell","BM_Neutrophil.Il1b","BM_Eryth","BM_Naive_B_cell","BM_Neutrophil.Ms4a3","BM_Neutrophil.Gpr27","BM_Monocyte","BM_Pre_B_cell","BM_Pro_Eryth","BM_T_cell","BM_Macg","BM_MeSC","BM_Basophil","BM_Dendritic","BM_Late_Pro_B","BM_Endo","BM_HSC","BM_Plasma"
"FC_Endo",0,0.000357142857142857,0.000445235975066785,0.000391849529780564,0,0,0,0,0,0.00174825174825175,0.00547445255474453,0.0104712041884817,0.0033112582781457,0,0.000316656111462951,0,0,0,0.000726744186046512,0,0,0,0.00439238653001464,0.000666666666666667,0,0,0,0.000455996352029184,1,0,0.00180505415162455,0.0103092783505155,0.000323101777059774,0.00152439024390244,0.000385653682992673,0.000964320154291225,0,0.00126262626262626,0,0.0045662100456621,0.00207253886010363,0,0,0,0.00159744408945687,0.00555555555555556,0,0,0,0,0,0.00249376558603491,0.00463678516228748,0.00536193029490617,0,0,0,0.000386847195357834,0,0.000400962309542903,0,0,0.000796495420151334,0.00045662100456621,0,0,0.00097815454841865,0.000569151963574274,0.000600240096038415,0,0.00144404332129964,0.000924214417744917,0.000795544948289578,0.00191938579654511
"FC_Peri",0.00113314447592068,0.00141995030173944,0.000441306266548985,0.00116731517509728,0.000470588235294118,0,0,0.00281293952180028,0.000467289719626168,0.00168918918918919,0.00175438596491228,0,0.009375,0,0.000314663310258024,0,0.000307597662257767,0.000490436488474743,0,0.000810372771474878,0,0.000368324125230203,0.00141843971631206,0.00197628458498024,0.00108991825613079,0.00135562584726615,0.00292397660818713,0.000904159132007233,0,1,0,0,0.00096370061034372,0.00113421550094518,0,0.000946073793755913,0,0.00246609124537608,0,0,0.00304878048780488,0,0.00436681222707424,0.0050251256281407,0.00154798761609907,0,0,0,0.000547645125958379,0.000989119683481701,0.000576036866359447,0.00476190476190476,0.00449775112443778,0.00253807106598985,0,0,0,0,0.000510204081632653,0.00119426751592357,0,0.000895255147717099,0.000790201501382853,0,0.000842105263157895,0.00045004500450045,0.00129617627997408,0.00056274620146314,0,0,0.00142348754448399,0.000907441016333938,0.00156739811912226,0.00252844500632111
"FC_L5.Fezf2",0.00241429261226461,0.00288369112463954,0.00272479564032698,0.00243478260869565,0.00205761316872428,0.00195790504160548,0.00317208564631245,0.000979431929480901,0.00163532297628782,0.00557413600891862,0.00113765642775882,0,0.00158478605388273,0,0.00345224395857307,0.00629811056682995,0.00394699746264449,0.00298889837745517,0.000586510263929619,0.0024975024975025,0.00299850074962519,0.0023194168323393,0.00197433366238894,0.00219058050383352,0.00186741363211951,0.00238189757840413,0.00606673407482305,0.00198570293884035,0.00180505415162455,0,1,0.00483870967741936,0.00146198830409357,0.00339328130302002,0.00171350239890336,0.00146520146520147,0.00164473684210526,0.00268096514745308,0,0,0.00465116279069767,0.00226244343891403,0.00185873605947955,0,0.00420168067226891,0,0,0,0.00187617260787992,0.000757575757575758,0.000978473581213307,0.00136986301369863,0.00204708290685773,0.00427960057061341,0,0,0,0.00103021978021978,0.00132333480370534,0.00070871722182849,0.00133630289532294,0.00315333070555775,0.00140944326990839,0.00119189511323004,0.00111815132314573,0.000395100750691426,0.00088339222614841,0.00336538461538462,0.00150526843953838,0.00110497237569061,0.00116686114352392,0.0021291696238467,0.00252684775742262,0.00264550264550265
"FC_InN.Lrrc38.Plcxd3",0.00165562913907285,0.00174581005586592,0.000864677907479464,0.000381679389312977,0.00230520977408944,0,0.00220848056537102,0,0.00228937728937729,0.00312989045383412,0.00487012987012987,0,0.00815217391304348,0.00896860986547085,0.00124107973937325,0.00255536626916525,0.000909918107370337,0.000479156684235745,0.000692520775623269,0.000266524520255864,0,0.000724112961622013,0.00399467376830892,0,0,0,0.00273224043715847,0.000884955752212389,0.0103092783505155,0,0.00483870967741936,1,0.000632511068943707,0.00111399925733383,0.00112824370063934,0,0,0.00116279069767442,0.0032258064516129,0,0.00290697674418605,0,0,0,0.00144092219020173,0,0,0,0.000533617929562433,0.000944287063267233,0.00393700787401575,0.00642398286937901,0.00560224089635854,0.00226244343891403,0,0,0,0.00150943396226415,0.00199501246882793,0.000780944943381492,0.000503524672708963,0.00175438596491228,0.000775494377665762,0.00266311584553928,0,0.000881445570736007,0.000956937799043062,0.00109649122807018,0.000576701268742791,0.00193798449612403,0.00137646249139711,0.00174064403829417,0.00151057401812689,0.000612369871402327
"LM_Skm.Myh4.1",0.00632083696599826,0.00425004427129449,0.00530451866404715,0.00463134494257132,0.00525252525252525,0.00306077831219939,0.00475530017832376,0.00366197183098592,0.00483189047714918,0.0014543339150669,0.000877706260971328,0.000980392156862745,0.00157828282828283,0.000992063492063492,0.00516925129231282,0.00251952632905014,0.00378351702582662,0.00390063641962636,0.00425632537242847,0.00521392424474774,0.0015600624024961,0.00469314079422383,0.00225479143179256,0.00390445567294442,0.0038552152495181,0.00296970896852109,0.00283607487237663,0.00356718192627824,0.000323101777059774,0.00096370061034372,0.00146198830409357,0.000632511068943707,1,0.066123715338375,0.0766502463054187,0.0106025342642876,0.00190839694656489,0.0149625935162095,0.000964630225080386,0.000647668393782383,0.00920568122041031,0,0.00130039011703511,0.000984574991795208,0.00691045205873884,0.00197044334975369,0.000335232986925914,0,0.00710594315245478,0.00389914218871848,0.00614169774073262,0.00306560392397302,0.00485298315729375,0.00185242358752701,0,0,0,0.00738552437223043,0.0045938609313009,0.00751173708920188,0.00693860386879731,0.00712871287128713,0.00654450261780105,0.00496425734710087,0.00461272342879108,0.00694720127034538,0.00626799932237845,0.00893830390233268,0.00554078014184397,0.00438394093216428,0.00329955220362951,0.00585241730279898,0.00413524689856483,0.00543970988213962
"LM_Skm.Myh1",0.00655021834061135,0.00521638330757342,0.00518918918918919,0.0054788961038961,0.00490414623272403,0.00316532748965181,0.0054608999563128,0.00454397922752353,0.00288248337028825,0.00371120107962213,0.00203596878181201,0.000771307365985345,0.00222304557243423,0.000782166601486116,0.00487893024936755,0.00429061784897025,0.00571224562656194,0.00385925085130533,0.00318555880010619,0.00263591433278418,0.00109529025191676,0.00374089387674739,0.00455432661027977,0.0041162850527399,0.00380680466333571,0.00656742556917688,0.00195950359242325,0.00415119073629015,0.00152439024390244,0.00113421550094518,0.00339328130302002,0.00111399925733383,0.066123715338375,1,0.0486985726280437,0.00938967136150235,0.0041183077499064,0.0155753337571519,0.00037821482602118,0.000763358778625954,0.00928699820251648,0,0.00114986584898429,0.00116324156649864,0.0106773440106773,0.00155098875533152,0.000397614314115308,0,0.00862688713156003,0.00712166172106825,0.00857002938295788,0.00465782873522035,0.00361723117395594,0.00144248106743599,0,0,0,0.0097165991902834,0.00718923933209648,0.00865087538619979,0.0107602339181287,0.00917832167832168,0.00737856118056979,0.00834248079034029,0.00826271186440678,0.00523903077930583,0.00736377025036819,0.00775193798449612,0.00792667822640575,0.00569505565622573,0.00637450199203187,0.00577200577200577,0.00494233937397035,0.00813008130081301
"LM_Skm.Myh4.2",0.00586653629919335,0.00466472303206997,0.00478989767036795,0.00469579420171499,0.0042648709315376,0.00541338582677165,0.00417582417582418,0.00360655737704918,0.00312849162011173,0.00443989071038251,0.00137221269296741,0.000390625,0.00112443778110945,0.000792707094728498,0.00509183487906892,0.00462294134643167,0.00412408104715797,0.00274223034734918,0.00456008583690987,0.0048140770252324,0.0014792899408284,0.00516077808654228,0.00493583415597236,0.00207200207200207,0.00600961538461538,0.00351802990325418,0.00231252064750578,0.0019767186470459,0.000385653682992673,0,0.00171350239890336,0.00112824370063934,0.0766502463054187,0.0486985726280437,1,0.0127862027951234,0.00189178963299281,0.0196774193548387,0.00191864927091328,0.000386548125241593,0.0087719298245614,0,0.00116504854368932,0.00157232704402516,0.00943714189416919,0.0027537372147915,0,0,0.0094294003868472,0.0102224894768491,0.00889108421832551,0.00544464609800363,0.00332446808510638,0.00219218122031421,0,0,0,0.00793489318413021,0.00795321637426901,0.0091305250051878,0.0113234253361642,0.00835899692036956,0.00888797023563456,0.00929820677440779,0.00789249146757679,0.00905077262693157,0.0105928266121539,0.0107790298873101,0.00925462731365683,0.00627123072903057,0.00616291532690246,0.00612244897959184,0.0041539739684298,0.00665301944728762
"LM_FB",0.00352941176470588,0.00305385896724042,0.00262209111766634,0.0029806259314456,0.00343878954607978,0.00158353127474268,0.00433333333333333,0.00400266844563042,0.00204988042364195,0.00217076700434153,0.0014695077149155,0,0.000897666068222621,0.00103305785123967,0.00201867272268483,0.0047071129707113,0.00049480455220188,0.00425531914893617,0.00320806599450046,0.00155902004454343,0,0.00199942873464724,0.00469483568075117,0.00260078023407022,0.00190548780487805,0.00333555703802535,0.00407608695652174,0.000999000999000999,0.000964320154291225,0.000946073793755913,0.00146520146520147,0,0.0106025342642876,0.00938967136150235,0.0127862027951234,1,0,0.00753295668549906,0.00380589914367269,0.00194174757281553,0.00850340136054422,0,0.00294406280667321,0.00202020202020202,0.00629370629370629,0,0,0,0.00576036866359447,0.00669642857142857,0.00756972111553785,0.00165016501650165,0.00274348422496571,0,0,0,0,0.00443393437777121,0.00547845142439737,0.00394656952034001,0.00367511944138184,0.00598006644518272,0.00453172205438067,0.00535654502845665,0.00603174603174603,0.00232712765957447,0.00622083981337481,0.00587084148727984,0.00364372469635628,0.00879120879120879,0.00365130077590141,0.00370762711864407,0.00387972841901067,0.00252951096121417
"LM_Endo",0.00111172873818788,0.00105189340813464,0.00130548302872063,0.00153668843641952,0.000463177396943029,0.00169587337478802,0.000887705281846427,0,0.00092038656235619,0.00159744408945687,0.00165562913907285,0,0,0,0.000622858922454064,0.000860585197934596,0.00182926829268293,0.000965250965250965,0.00210084033613445,0.000802997858672377,0,0.00145666423889294,0.0013531799729364,0.000643500643500643,0.00160599571734475,0.000889679715302491,0,0,0,0,0.00164473684210526,0,0.00190839694656489,0.0041183077499064,0.00189178963299281,0,1,0.00236686390532544,0.00337837837837838,0,0.00690335305719921,0,0.0114942528735632,0,0.00147058823529412,0.00858369098712446,0,0,0.00215401184706516,0.00287631831255992,0.00510783200908059,0.0021978021978022,0.00427960057061341,0.00468384074941452,0,0,0,0.00265856437523737,0.00100351229302559,0.000392464678178964,0.00101471334348047,0.0022075055187638,0.00156067108856808,0.00133809099018733,0.00166181969256336,0.00133096716947649,0.000640614990390775,0.00221238938053097,0.00116346713205352,0.000651041666666667,0.000694444444444444,0.00264550264550265,0.00152671755725191,0.00185528756957328
"LM_MTJ",0.00303424360641526,0.00208271347813151,0.00392436674991081,0.00224863475746868,0.0014986886474335,0.00175361683472161,0.00398984403336961,0.00398406374501992,0.00410907732536421,0.00263852242744063,0.00269058295964126,0,0.00230414746543779,0,0.00215169445938677,0.00239234449760766,0.00211026114481667,0.00232468035645099,0.00413223140495868,0.00117730162467624,0.00220994475138122,0.00276582667486171,0.000798722044728434,0.00145278450363196,0.00168067226890756,0.000724375226367258,0.00488997555012225,0.00363504180298073,0.00126262626262626,0.00246609124537608,0.00268096514745308,0.00116279069767442,0.0149625935162095,0.0155753337571519,0.0196774193548387,0.00753295668549906,0.00236686390532544,1,0.00371747211895911,0.00127226463104326,0.00854700854700855,0,0,0.0053835800807537,0.00929839391377853,0.00133868808567604,0,0,0.00423011844331641,0.00515796260477112,0.00572435050638485,0.00414507772020725,0.00329760923330585,0.00106269925611052,0,0,0,0.00446001911436763,0.0032,0.00229132569558101,0.00688537869582827,0.00288288288288288,0.00522193211488251,0.00473588342440801,0.00308747855917667,0.00325968851865266,0.00469613259668508,0.0038860103626943,0.00585321927059883,0.00440960313571779,0.00617919670442842,0.0048721071863581,0.00329851566794942,0.00234962406015038
"LM_Macg",0.00227272727272727,0.000710227272727273,0,0.00155884645362432,0.000471253534401508,0,0.0004510599909788,0,0.000467945718296678,0,0.00353356890459364,0,0,0,0.00031496062992126,0.00177935943060498,0.000615953187557746,0,0.000717875089734386,0.000540540540540541,0,0.0011070110701107,0.00142450142450142,0.00131926121372032,0.00109170305676856,0.000452079566003617,0.00146627565982405,0,0,0,0,0.0032258064516129,0.000964630225080386,0.00037821482602118,0.00191864927091328,0.00380589914367269,0.00337837837837838,0.00371747211895911,1,0,0.00716479017400205,0,0,0,0,0,0,0,0.000548546352166758,0.000992063492063492,0.00115473441108545,0,0.00300751879699248,0.00255754475703325,0,0,0,0.00115384615384615,0.00204708290685773,0.00159489633173844,0.0020703933747412,0.000896458987001345,0.00237717908082409,0.00181488203266788,0.00168776371308017,0.000450653447498873,0.00162232316677482,0.00112803158488438,0.00178465199286139,0,0.00285714285714286,0.000909918107370337,0.0055205047318612,0.00316856780735108
